"doi","URL","content.type","content.version","intended.application","language","id"
"10.17645/pag.v9i2.4027","https://www.cogitatiopress.com/politicsandgovernance/article/viewFile/4027/4027","application/pdf","vor","text-mining",NA,193
"10.17645/pag.v9i2.4027","https://www.cogitatiopress.com/politicsandgovernance/article/viewFile/4027/4027","unspecified","vor","similarity-checking",NA,194
"10.1590/s0102-6992-202035010011","http://www.scielo.br/pdf/se/v35n1/0102-6992-se-35-01-259.pdf","unspecified","vor","similarity-checking",NA,195
"10.1080/13603116.2014.908966","http://www.tandfonline.com/doi/pdf/10.1080/13603116.2014.908966","unspecified","vor","similarity-checking","en",196
"10.1515/sem-2015-0067","https://www.degruyter.com/document/doi/10.1515/sem-2015-0067/pdf","unspecified","vor","similarity-checking",NA,197
"10.3390/e2030098","http://www.mdpi.com/1099-4300/2/3/98/pdf","unspecified","vor","similarity-checking","en",198
"10.1080/03906701.2014.894335","http://www.tandfonline.com/doi/pdf/10.1080/03906701.2014.894335","unspecified","vor","similarity-checking","en",199
"10.1177/0170840606067994","http://journals.sagepub.com/doi/pdf/10.1177/0170840606067994","application/pdf","vor","text-mining","en",200
"10.1177/0170840606067994","http://journals.sagepub.com/doi/pdf/10.1177/0170840606067994","unspecified","vor","similarity-checking","en",201
"10.1007/s12108-020-09464-y","https://link.springer.com/content/pdf/10.1007/s12108-020-09464-y.pdf","application/pdf","vor","text-mining","en",202
"10.1007/s12108-020-09464-y","https://link.springer.com/content/pdf/10.1007/s12108-020-09464-y.pdf","application/pdf","vor","similarity-checking","en",203
"10.5565/rev/athenea.1480","http://atheneadigital.net/article/viewFile/1480/1480-pdf-es","application/pdf","vor","text-mining",NA,204
"10.17583/hse.2020.4565","https://hipatiapress.com/hpjournals/index.php/hse/article/viewFile/4565/pdf","application/pdf","vor","text-mining",NA,205
"10.17583/hse.2020.4565","https://hipatiapress.com/hpjournals/index.php/hse/article/viewFile/4565/pdf","unspecified","vor","similarity-checking",NA,206
"10.1108/s0733-558x2021000073b004","https://www.emerald.com/insight/content/doi/10.1108/S0733-558X2021000073b004/full/html","unspecified","vor","similarity-checking",NA,207
"10.24908/ss.v8i4.4181","https://ojs.library.queensu.ca/index.php/surveillance-and-society/article/download/4181/4183","application/pdf","vor","text-mining",NA,208
"10.24908/ss.v8i4.4181","https://ojs.library.queensu.ca/index.php/surveillance-and-society/article/download/4181/4183","unspecified","vor","similarity-checking",NA,209
"10.1080/00207543.2021.1930238","https://www.tandfonline.com/doi/pdf/10.1080/00207543.2021.1930238","unspecified","vor","similarity-checking","en",210
"10.1007/s11213-016-9380-9","http://link.springer.com/content/pdf/10.1007/s11213-016-9380-9.pdf","application/pdf","vor","text-mining","en",211
"10.1007/s11213-016-9380-9","http://link.springer.com/content/pdf/10.1007/s11213-016-9380-9.pdf","application/pdf","vor","similarity-checking","en",212
"10.1007/s11213-016-9380-9","http://link.springer.com/content/pdf/10.1007/s11213-016-9380-9","unspecified","vor","similarity-checking","en",213
"10.1057/s41285-017-0054-1","http://link.springer.com/content/pdf/10.1057/s41285-017-0054-1.pdf","application/pdf","vor","text-mining","en",214
"10.1057/s41285-017-0054-1","http://link.springer.com/content/pdf/10.1057/s41285-017-0054-1.pdf","application/pdf","vor","similarity-checking","en",215
"10.1111/jtsb.12004","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjtsb.12004","unspecified","vor","text-mining","en",216
"10.1111/jtsb.12004","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjtsb.12004","application/pdf","vor","text-mining","en",217
"10.1111/jtsb.12004","http://onlinelibrary.wiley.com/wol1/doi/10.1111/jtsb.12004/fullpdf","unspecified","vor","similarity-checking","en",218
"10.1177/0263276420925548","http://journals.sagepub.com/doi/pdf/10.1177/0263276420925548","application/pdf","vor","text-mining","en",219
"10.1177/0263276420925548","http://journals.sagepub.com/doi/pdf/10.1177/0263276420925548","unspecified","vor","similarity-checking","en",220
"10.1017/s0149767716000395","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0149767716000395","unspecified","vor","similarity-checking","en",221
"10.5102/rbpp.v8i2.5317","https://www.publicacoes.uniceub.br/RBPP/article/viewFile/5317/3968","application/pdf","vor","text-mining",NA,222
"10.5102/rbpp.v8i2.5317","https://www.publicacoes.uniceub.br/RBPP/article/viewFile/5317/3968","unspecified","vor","similarity-checking",NA,223
"10.1080/01425690120054876","https://www.tandfonline.com/doi/pdf/10.1080/01425690120054876","unspecified","vor","similarity-checking","en",224
"10.1590/0103-2070201528","http://www.scielo.br/pdf/ts/v27n2/1809-4554-ts-27-02-00167.pdf","unspecified","vor","similarity-checking","en",225
"10.1515/ngs-2016-0015","http://www.degruyter.com/view/j/ngs.2017.11.issue-3/ngs-2016-0015/ngs-2016-0015.pdf","unspecified","vor","similarity-checking",NA,226
"10.1111/1467-8551.12651","https://onlinelibrary.wiley.com/doi/pdf/10.1111/1467-8551.12651","application/pdf","vor","text-mining","en",227
"10.1111/1467-8551.12651","https://onlinelibrary.wiley.com/doi/pdf/10.1111/1467-8551.12651","unspecified","vor","similarity-checking","en",228
"10.1093/ojlr/rwz028","http://academic.oup.com/ojlr/article-pdf/8/3/447/31955695/rwz028.pdf","application/pdf","vor","syndication","en",229
"10.1093/ojlr/rwz028","http://academic.oup.com/ojlr/article-pdf/8/3/447/31955695/rwz028.pdf","unspecified","vor","similarity-checking","en",230
"10.1007/s00191-021-00744-5","https://link.springer.com/content/pdf/10.1007/s00191-021-00744-5.pdf","application/pdf","vor","text-mining","en",231
"10.1007/s00191-021-00744-5","https://link.springer.com/content/pdf/10.1007/s00191-021-00744-5.pdf","application/pdf","vor","similarity-checking","en",232
"10.1002/asi.21381","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fasi.21381","unspecified","vor","text-mining","en",233
"10.1002/asi.21381","https://onlinelibrary.wiley.com/doi/full/10.1002/asi.21381","unspecified","vor","similarity-checking","en",234
"10.22363/2313-2272-2019-19-4-607-616","http://journals.rudn.ru/sociology/article/viewFile/22085/17328","application/pdf","vor","text-mining",NA,235
"10.22363/2313-2272-2019-19-4-607-616","http://journals.rudn.ru/sociology/article/viewFile/22085/17328","unspecified","vor","similarity-checking",NA,236
"10.1007/978-3-8350-5528-5","http://link.springer.com/content/pdf/10.1007/978-3-8350-5528-5.pdf","application/pdf","vor","text-mining",NA,237
"10.1007/978-3-8350-5528-5","http://link.springer.com/content/pdf/10.1007/978-3-8350-5528-5","unspecified","vor","similarity-checking",NA,238
"10.1590/1981-81222015000300013","http://www.scielo.br/pdf/bgoeldi/v10n3/1981-8122-bgoeldi-10-3-0723.pdf","unspecified","vor","similarity-checking",NA,239
"10.1080/14724049.2019.1579824","https://www.tandfonline.com/doi/pdf/10.1080/14724049.2019.1579824","application/pdf","vor","text-mining","en",240
"10.1080/14724049.2019.1579824","https://www.tandfonline.com/doi/pdf/10.1080/14724049.2019.1579824","unspecified","vor","similarity-checking","en",241
"10.1177/002188637501100402","http://journals.sagepub.com/doi/pdf/10.1177/002188637501100402","application/pdf","vor","text-mining","en",242
"10.1177/002188637501100402","http://journals.sagepub.com/doi/pdf/10.1177/002188637501100402","unspecified","vor","similarity-checking","en",243
